parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
Haitanka;1;2;##K: og. ##D: mieszkanka Haiti, kobieta pochodzenia haitańskiego.;Haitańczyk;1;2;##K: og. ##D: mieszkaniec Haiti, człowiek pochodzenia haitańskiego.
hamburka;1;2;##K: og. ##D: mieszkanka Hamburga. [##P: Jest hamburką, ale od kilku lat pracuje sezonowo w Anglii, więc zarówno po angielsku, jak i po niemiecku mówi doskonale.];hamburczyk;1;2;##K: og. ##D: mieszkaniec Hamburga.
handlarka;1;2;##K: og. ##D: kobieta zajmująca się handlem na mała skalę. [##W: Ponownie maluje nagiego do połowy młodzieńca odwróconego tyłem, który zasłania się przed uderzeniami bicza, jest i przestraszona kobieta, starzec siedzący na pierwszym planie i handlarka z koszykiem.] {##L: };handlarz;1;2;##K: og. ##D: osoba, trudniąca się handlem. [##WN: Dotychczasowe zapisy kodeksu pozwalały nałożyć jedynie grzywnę np. za niszczenie zieleni, jeśli handlarz stał na trawniku, lub za utrudnianie przejścia, gdy handel odbywał się na chodniku.]
harcerka;1;2;##K: og. ##D: dziewczyna lub kobieta należąca do harcerstwa. [##P: W podstawówce byłam harcerką, ale później już nie miałam czasu na udzielanie się w zastępie, więc zrezygnowałam.];harcerz;1;2;##K:  ##D: . [##P: ] {##L: } [##Kol: mundur harcerza]
harcmistrzyni;1;2;##K:  ##D: . [##P: ] {##L: };harcmistrz;1;2;##K: środ. ##D: instruktor harcerski, który zdobył najwyższy harcerski stopień instruktorski. {##L: https://pl.wikipedia.org/wiki/Harcmistrz}
harfiarka;1;2;##K:  ##D: . [##P: ] {##L: };harfiarz;1;2;##K:  ##D: . [##P: ] {##L: }
harfistka;1;2;##K:  ##D: . [##P: ] {##L: };harfista;1;2;##K:  ##D: . [##P: ] {##L: }
Hawajka;1;2;##K: og.;Hawajczyk;1;2;##K: og.
hawanka;1;2;##K: og. ##D: mieszkanka Hawany.;hawańczyk;2;2;##K: og. ##D: mieszkaniec Hawany.
hazardzistka;2;2;##K: og. ##D: kobieta, która uprawia hazard, gra w karty itp. [##P: ] {##L: };hazardzista;2;2;##K: og. ##D: człowiek, który uprawia hazard - gry w karty, na automatach itp. [##P: ] {##L: } ##A1: 0 ##A2: 0 [##Kol: hazardzista internetowy]
hazardzistka;1;2;##K: og. ##D: kobieta, która dużo ryzykuje, lubi ryzyko.;hazardzista;1;2;##K: og. ##D: ktoś, kto dużo ryzykuje. ##A1: {smutek, złość, strach, krzywda, błąd, nieszczęście} - m [Taki hazardzista nie powinien mieć dzieci, to co robi jest głupotą.]
hebraistka;1;2;##K:  ##D: . [##P: ] {##L: };hebraista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Hebrajka;1;2;##K: og. ##D: przedstawicielka plemion izraelskich w Biblii.;Hebrajczyk;1;2;##K: og. ##D: przedstawiciel plemion izraelskich w Biblii.
hedonistka;1;2;##K:  ##D: . [##P: ] {##L: };hedonista;1;2;##K:  ##D: . [##P: ] {##L: }
hellenistka;1;2;##K:  ##D: . [##P: ] {##L: };hellenista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Hellenka;1;2;##K: książk. ##D: mieszkanka starożytnej krainy, kobieta pochodzenia helladzkiego, helleńskiego, także określenie mieszkanki Grecji.;Hellen;1;2;##K: książk. ##D: mieszkaniec współczesnej Grecji. [##P: W zeszłym roku byłam na urlopie w Grecji i to, co najbardziej mnie zaskoczyło, to radość życia i luz, jaki mają Hellenowie.]
Hellenka;2;2;##K: og. ##D: mieszkanka starożytnej krainy Hellady.;Hellen;2;2;##K: og. ##D: mieszkaniec Hellady - starożytnej krainy, która leżała na południu Tesalii.
helsinka;1;2;##K: og. ##D: mieszkanka Helsinek.;helsińczyk;1;2;##K: og. ##D: mieszkaniec Helsinek. 
Helwetka;1;2;##K: książk. ##D: mieszkanka Helwecji, przedstwaicielka starożytnego ludu celtyckiego.;Helweta;1;2;##K: książk. ##D: mieszkaniec Helwecji, przedstwaiciel starożytnego ludu celtyckiego.
Hercegowinka;1;2;##K: og. ##D: mieszkanka Hercegowiny, kobieta pochodzenia hercegowińskiego.;Hercegowińczyk;1;2;##K: og. ##D: mieszkaniec Hercegowiny, człowiek pochodzenia hercegowińskiego.
heretyczka;1;2;##K: og. ##D: kobieta, która wyznaje lub głosi herezję, czyli poglądy sprzeczne z dogmatami wiary katolickiej. [##P: ] {##L: };heretyk;1;2;##K: specj.  ##D: człowiek, który wyznaje lub głosi herezję, czyli poglądy sprzeczne z dogmatami wiary katolickiej.  [##P: Głosił, że dogmat o niepokalanym poczęciu Maryi jest sprzeczny z rozumem i Pismem św., dlatego został uznany za heretyka.] {##L: } ##A1: 0
